	roi_label	x1	x2	y1	y2	x_shift	y_shift	x_expand	y_expand
0	VB-A1	35	66	3	31	0	0	0	0
1	VB-A2	112	144	57	86	0	0	0	0
2	VB-A3	182	218	4	41	0	0	0	0
3	VB-B1	35	66	56	83	0	0	0	0
4	VB-B2	112	144	16	47	0	0	0	0
5	VB-B3	182	218	45	74	0	0	0	0
6	VB-C1	35	66	99	130	0	0	0	0
7	VB-C2	112	144	112	143	0	0	0	0
8	VB-C3	182	218	89	122	0	0	0	0
9	VB-D1	35	66	144	174	0	0	0	0
10	VB-D2	112	144	167	199	0	0	0	0
11	VB-D3	182	227	147	186	0	0	0	0
12	VB-E1	35	66	189	221	0	0	0	0
13	VB-E2	112	144	211	244	0	0	0	0
14	VB-E3	182	218	201	237	0	0	0	0
15	HL-A1	2	40	295	300	0	0	0	0
16	HL-A2	42	71	370	380	0	0	0	0
17	HL-A3	11	43	447	457	0	0	0	0
18	HL-B1	56	89	300	310	0	0	0	0
19	HL-B2	90	118	380	390	0	0	0	0
20	HL-B3	56	89	440	450	0	0	0	0
21	HL-C1	110	143	305	314	0	0	0	0
22	HL-C2	136	166	373	383	0	0	0	0
23	HL-C3	123	156	451	458	0	0	0	0
24	HL-D1	160	189	290	316	0	0	0	0
25	HL-D2	179	214	360	400	0	0	0	0
26	HL-D3	164	192	435	470	0	0	0	0
27	HL-E1	207	238	290	316	0	0	0	0
28	HL-E2	223	254	360	400	0	0	0	0
29	HL-E3	203	233	435	470	0	0	0	0
30	VU-A1	291	320	3	31	0	0	0	0
31	VU-A2	389	392	57	86	0	0	0	0
32	VU-A3	440	474	4	35	0	0	0	0
33	VU-B1	291	320	45	72	0	0	0	0
34	VU-B2	368	400	16	47	0	0	0	0
35	VU-B3	463	467	45	74	0	0	0	0
36	VU-C1	291	320	99	130	0	0	0	0
37	VU-C2	368	400	112	143	0	0	0	0
38	VU-C3	440	474	89	122	0	0	0	0
39	VU-D1	291	320	144	174	0	0	0	0
40	VU-D2	368	400	167	199	0	0	0	0
41	VU-D3	440	474	147	186	0	0	0	0
42	VU-E1	291	320	189	221	0	0	0	0
43	VU-E2	368	400	211	244	0	0	0	0
44	VU-E3	440	474	201	237	0	0	0	0
45	VD-A1	295	325	273	301	0	0	0	0
46	VD-A2	360	390	292	323	0	0	0	0
47	VD-A3	435	470	269	297	0	0	0	0
48	VD-B1	295	325	315	342	0	0	0	0
49	VD-B2	360	390	339	371	0	0	0	0
50	VD-B3	435	470	317	343	0	0	0	0
51	VD-C1	295	325	363	391	0	0	0	0
52	VD-C2	360	390	385	418	0	0	0	0
53	VD-C3	435	470	367	398	0	0	0	0
54	VD-D1	305	315	415	441	0	0	0	0
55	VD-D2	375	385	431	462	0	0	0	0
56	VD-D3	450	460	418	446	0	0	0	0
57	VD-E1	315	318	456	482	0	0	0	0
58	VD-E2	385	390	475	500	0	0	0	0
59	VD-E3	455	460	462	489	0	0	0	0
