roi_id	detector	crystal	module	x1	x2	y1	y2	mask_pixels	center	width	height	background	r-square	automatic_exclusion_reasons	q_ave	dq_ave	q_range	dq_range	automatic_accepted	final_exclusion_reasons	final_selected
lambda:VB-A1	lambda	VB-A1	VB	38	68	5	35	229	9681.874327141226	1.0626454838770463	37338.462073022325	-1060.5174855615414	0.9676742380706032		9.840563009940846	0.08733276135585044	0.40505576897376017	0.0034485337581165454	True		True
lambda:VB-A2	lambda	VB-A2	VB	122	152	57	87	94	9683.487582851927	1.2782904232219725	31218.29482865111	-1241.0244952812845	0.9500362922743852		9.859148991920824	0.0828477489739051	0.40575688301565016	0.0032719697053789493	True		True
lambda:VB-A3	lambda	VB-A3	VB	186	216	7	37	191	9686.20936750692	1.050646225230773	37297.7370052883	-393.11839197775544	0.9385727019894108		9.842719684091305	0.08735271994821094	0.40505256494430597	0.003450137938810688	True		True
lambda:VB-B1	lambda	VB-B1	VB	41	71	44	74	110	9680.888845196589	1.0393921453624897	44975.87595036452	-1226.7014818670955	0.9703514094019581		9.714195840616345	0.11400758205692636	0.40008759621071555	0.00449911301204825	True		True
lambda:VB-B2	lambda	VB-B2	VB	115	145	17	47	75	9682.857837545533	1.6708300800291653	18519.530981147498	-1003.1603989914678	0.9233537983711857		9.732225320330715	0.11079842797498492	0.4007585448477897	0.004373284230773988	True		True
lambda:VB-B3	lambda	VB-B3	VB	193	223	50	80	204	9684.855156376807	1.6090870320102044	38781.48219871921	-1140.1758501656484	0.9376400570156483		9.716142736380315	0.11403143751387716	0.40008253488013956	0.004501054633022486	True		True
lambda:VB-C1	lambda	VB-C1	VB	36	66	97	127	150	9679.749674258554	0.7421762783183443	55154.67973883754	-933.6324508206892	0.9633297424804326		9.551706321188956	0.14072599038254388	0.393701525450064	0.005549000141061661	True		True
lambda:VB-C2	lambda	VB-C2	VB	121	151	118	148	118	9681.15778803979	0.8174029132633565	44997.00716383925	-943.8328296433589	0.970529530641286		9.568511321085769	0.13832535594062076	0.39433467931016075	0.005455200138153482	True		True
lambda:VB-C3	lambda	VB-C3	VB	183	213	88	118	187	9683.11717545241	0.8704842769820178	46266.43100390308	-1074.9653628027365	0.9671800312887135		9.55333049439801	0.1407510142574771	0.39369486581373714	0.0055510709991377916	True		True
lambda:VB-D1	lambda	VB-D1	VB	40	70	145	175	61	9681.255401124086	0.9432696993015437	25633.687272595886	-506.2009191998129	0.9837945522947474		9.355038594727727	0.16718542780182644	0.3859180841179679	0.006586563346922092	True		True
lambda:VB-D2	lambda	VB-D2	VB	119	149	168	198	116	9682.021984170227	1.2475547038615915	25076.412601958058	-889.0510425025856	0.960309104715135		9.37037102884565	0.16535273528831504	0.38650574606315224	0.006515152064547225	True		True
lambda:VB-D3	lambda	VB-D3	VB	208	238	132	162	632	9683.596596902264	1.2243680624825215	16155.951982321541	-552.527787842417	0.967126539973463		9.356143368608102	0.1672061116875792	0.38591141286085495	0.006588311658820067	True		True
lambda:VB-E1	lambda	VB-E1	VB	37	67	188	218	166	9682.300816258303	1.2227203221976664	53920.31253129177	-1663.2049285181088	0.9796060911173697		9.123422674972007	0.1931649753528565	0.376775636830752	0.007601349866666912	True		True
lambda:VB-E2	lambda	VB-E2	VB	122	152	206	236	156	9683.06774781595	1.211953614904989	60476.527369260475	-1792.7923055998199	0.9780723753322234		9.137364402965966	0.19176624842203557	0.377307449480913	0.007547229605184114	True		True
lambda:VB-E3	lambda	VB-E3	VB	188	218	198	228	156	9684.086866802225	2.0328494833883273	51201.5836219957	-3654.677704962708	0.9167229965050854	fwhm_above_threshold	9.124243572888854	0.19318322544630945	0.37676867103381717	0.007602933033799664	False	fwhm_above_threshold	False
lambda:HL-A1	lambda	HL-A1	HL	14	44	281	311	33	9689.919849041189	0.00266216760533379	1477.4783803943528	0.055032406837234836	0.3397390886091052	r_squared_below_threshold	3.86305154405844	0.4312870544808894	0.17633370193102893	0.015100177938571768	False	r_squared_below_threshold	False
